,sentence,words,words_tag
0,이거네 소갈비살 스테이크 팔아,"['이거네', ' ', '소갈비살', ' ', '스테이크', ' ', '팔아']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-']"
1,가나다진마늘 있어,"['가나다진마늘', ' ', '있어']","['PRD_B', '-', '-']"
2,국내산 안동식 순살찜닭 재고 있어,"['국내산', ' ', '안동식', ' ', '순살찜닭', ' ', '재고', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
3,매일 우유 오리지널 후레쉬팩 재고 남았어,"['매일', ' ', '우유', ' ', '오리지널', ' ', '후레쉬팩', ' ', '재고', ' ', '남았어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
4,하림 닭가슴살 블랙페퍼 존재해,"['하림', ' ', '닭가슴살', ' ', '블랙페퍼', ' ', '존재해']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-']"
5,이마트 진심을 담은 우유 물건 있어,"['이마트', ' ', '진심을', ' ', '담은', ' ', '우유', ' ', '물건', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
6,탤리스 녹차아이스크림 팔긴 해,"['탤리스', ' ', '녹차아이스크림', ' ', '팔긴', ' ', '해']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
7,깔끔한 저지방 남았어,"['깔끔한', ' ', '저지방', ' ', '남았어']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-']"
8,풀무원 국산콩 청국장 찌개양념 재고품 있어,"['풀무원', ' ', '국산콩', ' ', '청국장', ' ', '찌개양념', ' ', '재고품', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
9,뚝배기불고기 살 수 있어,"['뚝배기불고기', ' ', '살', ' ', '수', ' ', '있어']","['PRD_B', '-', '-', '-', '-', '-', '-']"
10,씨제이 고메 피자호떡만두 진열되어 있어,"['씨제이', ' ', '고메', ' ', '피자호떡만두', ' ', '진열되어', ' ', '있어']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
11,매일 아몬드브리즈 오리지널 재고 많아,"['매일', ' ', '아몬드브리즈', ' ', '오리지널', ' ', '재고', ' ', '많아']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-']"
12,가장 싼 서울우유 딸기멸균은 몇 개 있어,"['가장', ' ', '싼', ' ', '서울우유', ' ', '딸기멸균', '은', ' ', '몇', ' ', '개', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-']"
13,가장 싼 꼴뚜기젓갈은 몇 개 남았어,"['가장', ' ', '싼', ' ', '꼴뚜기젓갈', '은', ' ', '몇', ' ', '개', ' ', '남았어']","['-', '-', '-', '-', 'PRD_B', '-', '-', '-', '-', '-', '-', '-']"
14,가장 싼 비락우유신선배송키트 가구형은 몇 개 존재해,"['가장', ' ', '싼', ' ', '비락우유신선배송키트', ' ', '가구형', '은', ' ', '몇', ' ', '개', ' ', '존재해']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-']"
15,가장 싼 제주농인 과일맛 종합 캔디는 몇 개 살 수 있어,"['가장', ' ', '싼', ' ', '제주농인', ' ', '과일맛', ' ', '종합', ' ', '캔디', '는', ' ', '몇', ' ', '개', ' ', '살', ' ', '수', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
16,가장 싼 씨제이 비비고 도톰해물완자는 몇 개 팔고 있어,"['가장', ' ', '싼', ' ', '씨제이', ' ', '비비고', ' ', '도톰해물완자', '는', ' ', '몇', ' ', '개', ' ', '팔고', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
17,가장 싼 의성마늘비엔나는 수량 어느 정도 있어,"['가장', ' ', '싼', ' ', '의성마늘비엔나', '는', ' ', '수량', ' ', '어느', ' ', '정도', ' ', '있어']","['-', '-', '-', '-', 'PRD_B', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
